CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3689617,"83 Bayside Blvd N, Kilbarrack Lower, Dublin 13, D13 X2W5, Ireland",standard,2022-01-28,339000,2,1,Terrace,,Buy,0,4028.0,Phillip Grimes,Capital Auctioneers,UNBRANDED_AGENT,14.0,False,False,False,SI_666,-6.408037,53.844061,-6.1428375,53.390241
3689436,"25 Blackthorn Ct, Sandyford, Dublin 16, D16 N206, Ireland",standard,2022-01-25,500000,3,1,Semi-D,88.0,Buy,0,5048.0,Vincent Walsh,Vincent Walsh Auctioneers,BRANDED_AGENT,38.0,False,False,False,B3,-9.049449,53.455107,-6.2231286,53.27585180000001
3689553,"County Dublin, North Dock, Dublin, Ireland",standard,2022-01-28,295000,2,1,Apartment,164.0,Buy,0,2714.0,Ian Smyth MRICS,Smyth Naas,BRANDED_AGENT,37.0,False,True,False,A3,-6.680261,53.211633,-6.2411522,53.3554423
3689554,"2 Sarsfield St, Glenageary, Sallynoggin, Co. Dublin, A96 P297, Ireland",standard,2022-01-30,395000,2,1,End of Terrace,51.0,Buy,0,2710.0,John Kelly  MIPAV REV MCEI,Kelly Hudson Properties,BRANDED_AGENT,33.0,False,False,False,C1,-6.661589,53.238745,-6.1378933,53.2792542
3689545,"Castlewarden, Co. Dublin, Ireland",standard,2022-01-28,125000,1,1,Detached,173.0,Buy,1,1218.0,DNG McCormack Clane Office,DNG McCormack  Properties,BRANDED_AGENT,25.0,True,False,False,E1,-6.60771,53.312235,-6.5334949,53.2749669
3689528,"1 Morehampton Terrace, Ranelagh, Dublin 4, D04 Y5W9, Ireland",standard,2022-01-28,750000,3,2,End of Terrace,125.0,Buy,0,1028.0,DNG Begley,DNG Begley,BRANDED_AGENT,14.0,False,False,False,D2,-7.724514,53.396385,-6.2420516,53.3249331
3689479,"9 Carrigmore Oak, Fortunestown, Dublin, Ireland",standard,2022-01-28,275000,3,3,Duplex,111.0,Buy,0,363.0,Peter Wyse,Peter Wyse,BRANDED_AGENT,18.0,False,True,False,C3,-6.236884,53.281157,-6.4311022,53.283047
3683476,"55 Dowth Ave, Cabra East, Dublin 7, D07 XK0N, Ireland",standard,2022-01-29,425000,3,1,Terrace,73.0,Buy,0,8806.0,Isabelle Crean,BidX1,BRANDED_AGENT,12.0,False,False,False,D2,-6.430331,53.323421,-6.2828012,53.3619512
3683477,"116 St Attracta Rd, Cabra East, Dublin 7, D07 T251, Ireland",standard,2022-01-29,400000,2,2,Terrace,106.0,Buy,0,6182.0,Robert Lawson,Lisney (Leeson St),BRANDED_AGENT,12.0,True,False,False,E1,-6.232969,53.318003,-6.284572799999999,53.366309
3689427,"87a, 15 Beechwood Downs, Hartstown, Dublin, D15 Y0FP, Ireland",standard,2022-01-28,275000,2,2,Detached,106.0,Buy,0,8806.0,Isabelle Crean,BidX1,BRANDED_AGENT,3.0,False,False,False,C2,-9.045362,52.455375,-6.417483,53.39709939999999
3689399,"42 Charnwood Grove, Clonsilla, Dublin, D15 E3H9, Ireland",standard,2022-01-30,375000,3,3,Semi-D,95.0,Buy,0,2760.0,Peter Kearney MIPAV MMCEPI,Rooney Auctioneers -Limerick,BRANDED_AGENT,15.0,False,False,False,C2,-8.633671,52.66014,-6.4159907,53.38654289999999
3689360,"Prospect Hill, Finglas Rd, Finglas, Dublin 11, Ireland",standard,2022-01-28,235000,2,2,Apartment,60.0,Buy,0,1223.0,William O'Connell,O'Connell Auctioneers,BRANDED_AGENT,14.0,False,False,False,C1,-8.643072,52.147504,-6.2906336,53.3804835
3689319,"Apartment 16, La Rochelle, 49 High St, The Liberties, Dublin 8, Ireland",standard,2022-01-27,295000,2,1,Apartment,69.0,Buy,0,12233.0,Colin Smyth,dVW Smyth,UNBRANDED_AGENT,8.0,True,False,False,D2,-6.279145,53.309836,-6.2749159,53.3431177
3689302,"Castleside Dr, Dublin, Ireland",standard,2022-01-30,295000,1,1,Apartment,42.0,Buy,0,542.0,Flynn and Associates Raheny,Flynn & Associates Ltd (Raheny),BRANDED_AGENT,18.0,True,False,False,B1,-6.2423861,53.3634252,-6.2808815,53.2985691
3689207,"Rathmines Town Centre, Rathmines Rd Lower, Rathmines, Dublin 6, Ireland",standard,2022-01-25,415000,3,1,Apartment,67.0,Buy,0,841.0,Fiona McGowan,Mason Estates Phibsboro,BRANDED_AGENT,13.0,False,False,False,B3,-6.172278,53.404656,-6.2646117,53.325356
3689158,"21 Plunkett Ave, Finglas West, Dublin, D11 N7Y5, Ireland",standard,2022-01-27,295000,3,2,Terrace,110.0,Buy,0,2534.0,Nora Meaney,Sherry FitzGerald McDermott,BRANDED_AGENT,18.0,False,False,False,G,-6.944798,52.845932,-6.308655099999999,53.39793539999999
3689135,"The Weavers, Meath Pl, Saint Catherine's, Dublin 8, D08 RTT2, Ireland",standard,2022-01-26,275000,2,1,Townhouse,65.0,Buy,0,8210.0,Ray Kelly (Residential Sales),HWP Residential and Commercial Property,BRANDED_AGENT,10.0,False,False,False,D1,-6.430858,53.329183,-6.280200799999999,53.3411247
3689100,"151 Bremore Castle, Tankardstown, Balbriggan, Co. Dublin, K32 YX37, Ireland",standard,2022-01-30,235000,2,1,Semi-D,72.0,Buy,0,3928.0,Grainne Hennessy,East Cork Properties,UNBRANDED_AGENT,20.0,False,False,False,D1,-7.85614,51.952708,-6.1967709,53.6158747
3689073,"14 Mask Cres, Donaghmede, Dublin 5, D05 R5X7, Ireland",standard,2022-01-27,395000,3,1,Terrace,93.0,Buy,0,10104.0,Conor O'Regan,DNG Tallaght,BRANDED_AGENT,13.0,False,False,False,XXX,-6.344265,53.292622,-6.1980757,53.3830831
3689052,"23 Applewood Ave E, Holybanks, Swords, Co. Dublin, K67 H362, Ireland",standard,2022-01-30,275000,2,1,Duplex,72.0,Buy,0,11062.0,Auctioneera Dublin Office*,Auctioneera.ie,UNBRANDED_AGENT,21.0,False,False,False,C2,-6.27907,53.348851,-6.230607099999999,53.4696138
